ENROLLMENT,TUITION PAYMENT MARCH 2022,TUITION PAYMENT MARCH 2023,GENDER,TYPE OF EDUCATIONAL INSTITUTION,EDUCATIONAL INSTITUTION,INSTITUTION STATUS,DEPARTMENT,PROVINCE,DISTRICT,CLASSIFICATION,CAMPUS,FACULTY,PROGRAM/MAJOR,SHIFT/SCHEDULE,BENEFIT DISCOUNTS,STUDY MODE,AGE RANGE OF ENROLLED STUDENT,DISABILITY,NUMBER OF ENROLLED COURSES,AT-RISK COURSE
0,0,0,1,INSTITUTO,IDAT,PRIVADA,14,98,54,1,6,6,36,1,4,0,4,0,0,0
0,1,0,1,COLEGIO,COLEGIO SISE,PRIVADA,14,98,660,1,6,6,40,2,4,0,3,0,3,0
0,1,1,2,,,,14,98,268,1,6,3,24,2,4,0,3,0,1,0
0,0,0,2,COLEGIO,1220 SAN JOSE MARELLO,ESTATAL,14,98,32,2,6,0,12,2,4,0,3,0,0,0
0,1,1,2,INSTITUTO,IDAT,PRIVADA,14,98,606,1,6,0,4,0,2,0,3,0,2,0
0,1,1,2,INSTITUTO,IDAT,PRIVADA,14,98,532,1,6,1,28,2,2,0,2,0,3,0
0,0,0,1,,,,14,98,182,1,6,6,50,2,4,0,2,0,2,2
0,1,1,2,INSTITUTO,IDAT,PRIVADA,6,24,68,1,6,5,35,2,2,0,1,0,2,0
0,0,0,1,INSTITUTO,SENATI,PRIVADA,6,24,85,2,6,5,63,2,4,0,3,0,2,2
0,0,0,1,INSTITUTO,IDAT,PRIVADA,14,98,54,3,6,6,43,1,4,0,2,0,0,0
0,0,0,2,,UNIVERSIDAD,,14,98,461,1,6,6,46,1,4,0,3,0,0,0
0,0,0,1,,SACOOLIVEROS-SANTAISABELC,,14,98,157,2,6,0,6,1,4,0,3,0,3,0
0,0,0,1,COLEGIO,CEBA - ALFREDO REBAZA ACOSTA,PRIVADA,6,24,51,2,6,5,63,0,4,0,4,0,0,0
0,0,0,2,INSTITUTO,IDAT,PRIVADA,14,98,137,3,6,0,2,1,4,2,2,0,3,0
0,0,0,2,,CAMARA DE COMERCIO DE BELLAVIS,,14,98,308,3,6,4,79,1,4,2,4,0,3,0
0,1,1,1,,,,14,98,320,0,6,5,62,2,4,0,4,0,4,0
0,1,1,1,INSTITUTO,IDAT,PRIVADA,14,98,660,1,6,0,1,1,2,0,1,0,3,0
0,0,0,2,COLEGIO,CEBA - GRAN MARISCAL ANDRES AV,ESTATAL,14,98,182,1,6,3,24,1,4,0,2,0,1,1
0,0,0,2,COLEGIO,CEBA - 1070 MELITON CARVAJAL,ESTATAL,14,98,543,1,6,4,78,2,4,2,3,0,2,0
0,1,1,1,UNIVERSIDAD,PONTIFICIAUNIVERSIDADCATÓLIC,PRIVADA,14,98,309,1,6,6,32,2,4,0,2,0,3,0
0,0,0,1,COLEGIO,LEONNARD EULER,PRIVADA,14,98,472,2,6,5,63,0,4,0,4,0,3,0
0,0,0,2,,,,14,98,308,1,6,0,1,2,4,2,1,0,2,2
0,0,0,2,COLEGIO,IVAN PAVLOV,PRIVADA,14,98,157,1,6,2,19,2,4,0,1,0,0,0
0,0,0,2,INSTITUTO,IDAT,PRIVADA,14,98,540,2,6,0,75,0,2,2,4,0,2,0
0,1,1,1,COLEGIO,7213 PERUANO JAPONES,ESTATAL,14,98,660,1,6,7,82,2,4,0,1,0,1,1
0,0,0,1,COLEGIO,7053 REINO DE ESPAÑA,ESTATAL,14,98,137,1,6,6,45,2,4,0,3,0,1,0
0,0,0,2,COLEGIO,AUGUSTO SALAZAR BONDY,ESTATAL,0,132,317,1,6,4,78,1,4,0,0,0,3,3
0,0,0,2,COLEGIO,CEBA - 1173 JULIO CESAR TELLO,ESTATAL,14,98,532,3,6,0,2,2,4,2,2,0,3,0
0,0,0,1,COLEGIO,CEBA - MARCELINO MENENDEZ Y PE,PRIVADA,14,98,309,2,6,2,23,2,4,0,4,0,3,3
0,1,0,1,COLEGIO,JOSE SANTOS CHOCANO,ESTATAL,14,98,461,1,6,3,24,2,4,0,0,0,3,3
0,0,0,1,INSTITUTO,ANTENOR ORREGO ESPINOZA,ESTATAL,14,98,532,2,6,0,12,2,4,0,2,0,1,0
0,0,0,1,COLEGIO,28 DE JULIO,PRIVADA,14,98,308,1,6,5,31,2,4,0,4,0,3,0
0,1,1,2,COLEGIO,HONORES DE BREÑA,PRIVADA,14,98,308,1,6,5,71,2,4,0,0,0,1,1
0,0,0,2,,,,14,98,54,1,6,7,29,1,4,0,0,0,3,0
0,1,1,2,,SANTA MARIA,,14,98,295,1,6,7,82,1,4,0,4,0,3,0
